,Suhu3pm,Suhu9am,SuhuMax,Tekanan3pm
4531,16.9,15.9,19.6,
4532,34.3,29.2,34.4,1006.2
4533,22.8,14.1,23.7,1020.3
4534,17.2,10.5,17.3,1023.3
4535,18.0,14.4,18.9,1019.8
4536,20.0,16.5,20.6,
4537,22.8,20.2,23.6,1029.9
4538,15.5,12.3,17.1,1016.6
4539,23.9,21.8,25.7,1014.8
4540,34.6,29.4,35.7,1002.6
4541,11.5,13.2,13.4,1005.1
4542,27.3,19.3,29.0,1011.5
4543,26.0,24.2,27.1,1014.7
4544,24.1,19.7,28.4,1010.3
4545,12.6,5.6,13.0,1027.2
4546,14.0,5.7,14.8,
4547,24.5,16.9,25.3,1009.5
4548,28.4,27.2,29.8,1010.2
4549,15.1,12.4,16.2,1024.5
4550,17.6,10.4,19.0,1017.7
4551,20.7,15.9,21.3,1024.2
4552,28.2,27.0,29.5,1013.5
4553,33.9,30.7,35.6,1007.0
4554,13.9,10.0,14.2,1027.7
4555,32.1,30.9,33.3,1006.2
4556,36.9,26.5,37.7,1013.1
4557,20.6,15.2,21.2,1014.0
4558,30.1,23.4,33.2,1006.3
4559,20.4,12.3,21.6,1012.5
4560,14.8,12.0,16.6,1003.4
4561,29.6,23.5,30.1,1001.2
4562,26.7,14.5,28.9,1016.7
4563,13.8,9.4,18.0,1021.9
4564,22.9,15.1,24.1,
4565,34.0,27.2,35.4,1005.9
4566,12.9,10.4,15.2,1023.4
4567,27.1,25.9,28.1,1006.4
4568,28.7,21.0,30.1,1007.3
4569,27.2,18.0,28.2,
4570,25.9,20.7,27.9,1009.1
4571,16.3,13.3,16.9,1021.2
4572,16.1,7.2,17.1,1025.0
4573,17.8,15.5,18.8,1016.2
4574,1.3,2.0,2.7,
4575,20.3,15.0,22.2,
4576,11.5,4.5,12.6,1025.5
4577,27.5,19.4,28.0,1015.0
4578,31.9,27.1,32.9,1013.7
4579,21.4,17.5,21.7,1005.1
4580,20.2,16.7,22.0,1027.2
4581,14.5,10.3,15.1,1022.8
4582,8.8,6.4,10.2,
4583,17.1,12.7,19.6,1023.4
4584,19.8,17.3,22.1,1020.8
4585,15.6,16.0,17.9,1006.0
4586,,11.8,,1017.1
4587,24.0,14.8,24.5,1026.1
4588,24.8,19.1,26.0,1012.4
4589,16.1,13.4,19.0,1014.1
4590,23.1,17.3,24.6,1015.7
4591,31.5,18.7,34.2,1003.8
4592,18.4,18.3,18.9,1010.5
4593,30.3,21.1,31.2,1012.9
4594,22.5,17.5,23.5,1023.2
4595,16.4,10.9,16.9,
4596,17.6,13.3,18.5,1015.3
4597,21.0,15.4,22.2,1022.9
4598,16.6,15.0,17.4,1011.7
4599,29.8,28.2,31.7,1012.6
4600,15.7,12.0,17.8,1025.0
4601,16.8,13.4,20.2,1000.6
4602,33.4,27.3,35.3,1004.5
4603,12.0,11.4,15.3,1001.9
4604,12.4,4.9,12.8,1005.3
4605,32.5,22.3,34.5,1006.2
4606,,21.5,28.5,
4607,15.8,6.7,16.2,1019.6
4608,11.6,6.6,12.5,1001.7
4609,24.9,19.7,27.0,1004.7
4610,13.9,9.6,15.0,1018.6
4611,20.6,19.0,21.1,1015.7
4612,22.0,15.6,23.3,1014.5
4613,14.2,11.9,16.1,1014.8
4614,16.9,13.0,17.5,1022.6
4615,25.4,20.3,27.2,1015.5
4616,18.1,15.7,19.4,1007.4
4617,15.8,11.5,17.5,
4618,20.3,18.5,21.7,1024.6
4619,14.7,9.4,15.0,1022.8
4620,,,,
4621,17.2,15.5,18.2,
4622,33.6,25.3,34.6,1008.3
4623,13.2,13.5,16.3,1010.3
4624,23.5,25.9,26.2,1007.1
4625,15.0,7.2,15.8,1022.9
4626,,26.3,35.6,1009.6
4627,16.7,16.2,17.4,1021.6
4628,16.5,11.4,17.4,1023.0
4629,20.5,12.6,20.9,1014.9
4630,33.6,24.1,35.1,1013.1
4631,15.5,6.5,15.8,1009.3
4632,22.0,11.5,23.0,1020.3
4633,20.8,18.3,21.9,1018.3
4634,28.3,23.0,29.5,1017.3
4635,26.1,18.5,27.0,1013.2
4636,14.8,12.7,17.1,1015.1
4637,14.4,9.0,15.4,1011.7
4638,14.0,6.6,15.0,1026.9
4639,32.9,24.2,34.7,1013.7
4640,16.1,11.5,16.5,1024.1
4641,33.8,17.1,34.2,1005.4
4642,31.6,23.1,32.7,1013.8
4643,25.8,23.8,27.3,1012.2
4644,18.2,16.6,19.4,1019.2
4645,18.9,7.8,19.5,1025.0
4646,24.4,23.8,25.2,1016.0
4647,14.0,4.8,14.4,1024.8
4648,35.6,25.2,37.4,1013.2
4649,24.7,17.2,25.5,1011.7
4650,29.2,21.0,30.2,1010.4
4651,14.4,13.2,15.7,1016.8
4652,22.6,20.8,23.4,1019.0
4653,28.2,24.4,31.0,1008.8
4654,17.5,3.8,18.8,1025.4
4655,29.8,27.9,30.8,1010.4
4656,24.6,17.6,25.7,1014.2
4657,18.8,14.2,20.8,1027.2
4658,18.9,12.5,21.8,1012.1
4659,27.4,22.2,28.5,
4660,19.2,15.3,19.9,1010.4
4661,14.3,7.6,14.9,1015.5
4662,1.6,1.8,2.6,
4663,27.7,19.8,28.8,1014.8
4664,23.3,15.3,23.4,1014.7
4665,23.0,21.0,26.2,1012.0
4666,14.6,12.2,15.4,1020.4
4667,17.9,13.2,20.9,1021.0
4668,21.8,20.4,23.1,1010.5
4669,30.6,23.3,32.1,1010.4
4670,27.3,26.4,28.5,1004.7
4671,37.2,30.1,38.3,1010.1
4672,9.6,7.0,11.1,
4673,29.2,27.9,31.4,1012.4
4674,25.6,23.3,26.5,1005.0
4675,27.2,24.5,28.8,1018.4
4676,15.8,7.5,17.0,1019.5
4677,25.6,18.1,26.4,1025.5
4678,13.4,11.8,15.2,1024.9
4679,14.7,12.5,16.8,
4680,12.7,10.3,15.6,1023.0
4681,15.2,17.2,17.8,1014.2
4682,20.3,9.3,21.4,1034.4
4683,13.5,12.2,15.5,1018.2
4684,29.7,21.1,30.7,
4685,12.2,14.3,15.5,1012.2
4686,22.2,15.7,23.4,1009.2
4687,16.2,10.6,16.9,1027.6
4688,28.6,19.3,29.8,
4689,30.5,27.7,31.4,1002.1
4690,24.6,17.9,25.5,1004.2
4691,27.1,28.4,31.4,
4692,22.6,18.6,23.8,1018.8
4693,29.8,30.6,33.4,1008.1
4694,13.8,11.4,15.0,1024.3
4695,32.5,19.8,33.6,
4696,26.5,17.4,27.2,1013.8
4697,19.2,10.8,21.4,1020.8
4698,33.8,27.5,35.0,1007.9
4699,21.9,21.6,29.2,1012.5
4700,27.6,18.1,28.4,
4701,24.1,18.8,26.8,1009.4
4702,35.7,24.3,36.4,1015.7
4703,17.1,12.6,18.4,1015.2
4704,30.8,20.9,32.5,1012.7
4705,23.2,20.2,24.3,
4706,31.2,21.1,32.0,1007.4
4707,24.9,22.8,25.3,1013.8
4708,18.5,17.5,20.7,1014.4
4709,19.1,16.6,20.4,1018.7
4710,23.4,13.4,23.9,1014.6
4711,23.3,24.8,26.5,1010.8
4712,14.8,10.6,15.9,1023.0
4713,17.9,15.0,19.4,1019.0
4714,27.7,16.9,30.0,1017.1
4715,16.6,12.7,17.2,
4716,26.7,20.6,29.5,1019.3
4717,20.6,14.1,21.7,1021.4
4718,23.5,14.8,24.2,1015.0
4719,27.7,23.6,28.3,1014.2
4720,13.9,9.7,14.8,1027.8
4721,25.3,22.0,26.6,1016.8
4722,26.9,16.8,28.0,1021.9
4723,24.3,14.8,24.7,1021.6
4724,30.6,18.0,32.0,1015.7
4725,19.3,10.9,19.8,1017.1
4726,23.0,24.6,27.7,1014.0
4727,15.2,9.7,15.4,1006.9
4728,18.8,18.2,20.3,1014.6
4729,22.9,13.5,23.1,1018.3
4730,10.8,7.1,12.1,1009.8
4731,22.0,20.0,23.4,1019.8
4732,18.5,14.7,20.1,1019.6
4733,34.1,19.7,34.3,1015.8
4734,17.8,5.0,18.6,1021.9
4735,14.8,13.8,16.0,1013.2
4736,23.5,25.0,26.3,1005.9
4737,16.0,13.0,17.4,1009.9
4738,12.7,8.9,13.4,1012.8
4739,15.5,15.0,16.8,1024.2
4740,19.1,19.8,22.7,1018.7
4741,12.5,6.9,12.8,1023.9
4742,13.4,9.8,14.0,
4743,10.5,5.8,11.3,1021.1
4744,23.6,16.3,24.4,
4745,25.3,16.5,27.5,1014.0
4746,22.4,20.8,25.0,1011.1
4747,26.9,17.6,28.2,1020.9
4748,12.7,11.0,13.0,1033.6
4749,29.0,21.8,30.5,1000.7
4750,23.6,14.0,25.1,1023.0
4751,23.1,17.0,23.9,1006.8
4752,13.2,10.3,13.3,1029.5
4753,24.2,19.2,25.7,
4754,22.6,19.1,24.1,1017.5
4755,21.1,15.0,22.5,1023.1
4756,8.8,2.2,9.6,1023.0
4757,16.4,13.4,17.9,1011.1
4758,20.8,16.0,21.2,1012.2
4759,20.6,21.1,24.0,1013.3
4760,20.2,16.1,21.9,1018.8
4761,11.0,10.0,13.1,1014.5
4762,23.7,16.5,24.1,1012.5
4763,12.9,8.9,13.7,1024.1
4764,17.7,9.8,18.3,1026.5
4765,39.8,31.0,41.2,1009.1
4766,20.5,9.7,20.8,1018.5
4767,32.4,28.1,33.4,1010.1
4768,20.0,18.0,22.2,993.9
4769,29.8,24.0,30.8,1008.9
4770,24.3,20.4,25.0,1008.2
4771,20.6,21.8,24.8,1012.4
4772,24.6,23.6,28.3,1011.1
4773,18.5,15.0,19.1,1022.0
4774,30.0,24.0,30.3,1008.4
4775,22.1,17.4,23.0,1012.6
4776,20.3,19.4,21.7,1026.0
4777,18.5,13.2,19.1,1022.6
4778,32.6,26.9,33.1,1007.1
4779,16.6,3.9,17.2,1031.4
4780,18.4,15.2,19.5,1017.5
4781,15.5,15.2,17.1,1012.7
4782,14.2,5.4,15.6,1018.8
4783,29.7,21.6,30.9,1011.2
4784,,,,
4785,31.4,22.9,32.2,1010.9
4786,18.1,8.6,19.1,1022.2
4787,24.6,14.7,25.3,1017.6
4788,19.2,6.0,19.4,1023.8
4789,17.0,10.3,19.0,1020.7
4790,26.2,26.3,28.5,1016.2
4791,21.1,17.5,23.1,
4792,27.7,29.2,31.4,1004.9
4793,14.9,13.5,18.5,1023.1
4794,37.0,28.0,38.0,1006.0
4795,16.1,12.5,17.3,1010.0
4796,20.3,13.5,20.9,1021.5
4797,38.3,32.6,40.3,1007.6
4798,23.6,19.1,24.5,1020.4
4799,14.8,5.3,16.1,1020.4
4800,22.6,19.3,24.1,1023.4
4801,26.9,22.7,27.5,1022.4
4802,27.0,19.1,29.2,1012.8
4803,8.1,9.2,12.3,1012.5
4804,16.8,11.5,17.5,1019.8
4805,24.7,23.8,29.1,1008.6
4806,14.1,8.8,15.2,1011.8
4807,22.3,23.3,27.2,1019.9
4808,22.7,12.7,23.1,1014.9
4809,23.3,17.1,24.3,1012.2
4810,22.1,17.3,22.7,1016.1
4811,25.0,15.8,25.4,1024.4
4812,29.7,28.0,30.8,1010.1
4813,20.5,15.6,21.1,1024.3
4814,34.5,21.6,35.2,1015.5
4815,24.4,24.4,29.5,1007.5
4816,22.9,22.0,25.5,1016.8
4817,11.9,6.8,12.9,1020.0
4818,31.7,26.6,33.9,1012.6
4819,28.2,27.1,30.1,1012.3
4820,13.3,10.3,15.2,
4821,27.3,17.7,29.4,1015.5
4822,16.6,14.7,17.4,1004.1
4823,18.0,17.3,19.5,1023.9
4824,41.6,31.2,43.9,1007.4
4825,27.4,26.5,28.4,1010.4
4826,24.1,13.2,24.6,1020.8
4827,14.4,14.0,17.6,1017.8
4828,12.6,9.3,14.8,1020.7
4829,22.3,16.8,22.4,1026.2
4830,20.5,15.3,21.3,1026.4
4831,16.2,13.3,19.4,1022.0
4832,23.4,20.5,24.3,1009.4
4833,11.1,8.5,12.0,1008.8
4834,14.0,6.3,14.4,1025.6
4835,12.1,4.2,12.8,1011.5
4836,24.9,19.4,26.6,
4837,25.6,14.7,27.7,1015.7
4838,19.6,17.2,22.0,
4839,29.0,24.4,31.4,1006.3
4840,27.8,14.6,28.4,1019.7
4841,20.6,12.0,20.7,1018.0
4842,5.1,3.2,7.4,
4843,19.5,16.9,20.2,1011.0
4844,18.7,15.8,19.9,
4845,12.4,14.0,16.9,1006.9
4846,32.7,26.8,36.3,1008.2
4847,24.8,9.9,25.5,1018.2
4848,13.7,11.3,15.3,1018.8
4849,14.1,12.5,16.2,1020.4
4850,11.3,,12.7,1023.3
4851,10.6,5.7,11.5,1018.8
4852,13.6,8.9,14.4,1014.3
4853,19.0,17.5,22.6,1011.8
4854,21.1,20.9,22.7,1019.0
4855,28.8,19.7,29.4,1017.2
4856,18.9,18.4,23.7,1009.6
4857,20.9,13.8,22.7,1019.3
4858,18.8,14.1,20.9,1017.1
4859,14.6,11.2,15.9,1024.1
4860,15.8,4.6,16.3,1024.8
4861,35.4,23.6,35.9,1011.6
4862,27.5,17.7,28.7,1023.6
4863,23.3,21.6,25.5,1018.3
4864,16.6,14.7,17.5,1017.6
4865,14.2,11.6,15.7,1017.0
4866,16.0,13.7,17.3,1015.8
4867,30.8,24.7,32.2,1009.0
4868,10.1,8.1,11.2,1015.1
4869,11.1,9.4,11.1,1033.8
4870,31.9,22.5,34.0,1011.2
4871,31.6,26.5,32.2,1009.9
4872,26.3,25.9,27.5,1014.9
4873,21.0,15.5,21.7,1017.9
4874,22.1,14.7,22.5,1025.9
4875,22.8,21.6,23.4,1018.5
4876,27.2,19.7,28.2,1020.4
4877,18.2,16.9,19.5,1020.1
4878,21.2,19.2,22.9,
4879,31.8,22.8,34.2,
4880,29.0,24.5,30.9,
4881,15.7,15.9,18.0,1019.3
4882,12.0,5.6,13.0,
4883,21.4,16.7,23.2,1013.1
4884,20.6,14.7,23.6,1010.6
4885,,14.5,18.8,
4886,24.9,23.6,26.6,1011.4
4887,24.3,15.6,24.8,1017.0
4888,21.8,16.1,22.9,1010.8
4889,14.2,8.0,14.7,1024.6
4890,29.9,19.5,30.0,1009.8
4891,9.9,6.4,10.8,1011.3
4892,19.5,18.2,20.4,1017.0
4893,17.6,13.9,19.2,1020.0
4894,14.5,11.6,15.1,1007.8
4895,12.0,11.8,13.2,1011.1
4896,12.2,10.3,13.7,1010.9
4897,34.8,28.9,36.6,1002.8
4898,24.1,18.1,24.9,1013.9
4899,21.5,17.7,22.5,1008.1
4900,30.2,26.2,35.9,
4901,29.7,22.3,30.8,1010.6
4902,38.8,26.0,39.6,1010.3
4903,24.3,12.8,26.4,1023.2
4904,19.5,17.8,20.7,1026.1
4905,33.0,26.5,34.9,1015.0
4906,23.6,22.3,24.1,1018.3
4907,32.2,24.6,33.8,1012.6
4908,10.5,7.8,12.1,995.6
4909,15.1,10.6,16.6,1016.6
4910,22.0,20.0,24.0,1014.0
4911,37.9,28.5,38.1,1008.6
4912,31.5,19.8,32.6,997.8
4913,16.1,12.7,16.7,1011.6
4914,13.2,10.2,13.4,1015.0
4915,23.3,20.9,26.2,1012.4
4916,20.3,11.4,21.5,
4917,28.0,14.7,28.8,1003.8
4918,18.0,7.6,,
4919,39.9,22.1,41.1,1005.0
4920,34.8,24.4,36.5,
4921,25.1,22.4,25.7,1014.5
4922,24.3,21.4,25.2,1014.4
4923,28.2,18.9,29.3,
4924,18.9,11.4,19.4,1022.6
4925,,27.0,33.2,
4926,22.7,17.3,23.2,1010.8
4927,14.6,10.3,15.0,1019.2
4928,24.5,21.6,25.2,
4929,22.2,18.3,23.8,1020.7
4930,34.6,21.3,35.7,1004.7
4931,19.5,16.1,20.1,1020.5
4932,19.7,12.3,20.5,
4933,12.9,8.3,13.9,1029.0
4934,21.4,17.0,22.9,1018.5
4935,14.6,10.7,15.2,1023.9
4936,11.2,7.3,12.9,1019.4
4937,14.5,18.9,20.1,1008.5
4938,27.3,24.9,28.7,1019.8
4939,21.3,22.1,24.5,1007.5
4940,14.6,7.2,15.3,1030.1
4941,15.7,9.2,16.1,1016.4
4942,22.1,16.9,22.3,1010.9
4943,38.6,29.0,40.6,1006.3
4944,35.3,25.3,37.7,1007.5
4945,14.8,13.8,16.8,1002.7
4946,12.5,11.5,15.0,
4947,14.0,14.0,15.2,1023.1
4948,26.7,24.6,28.1,1021.6
4949,19.5,17.1,20.3,1011.5
4950,11.2,8.7,12.2,1021.8
4951,35.3,28.9,36.9,1011.7
4952,17.9,13.8,19.3,1024.4
4953,12.5,9.6,13.5,1011.0
4954,27.4,19.9,28.7,
4955,17.1,17.6,17.8,996.1
4956,32.0,22.6,32.3,1012.1
4957,22.2,23.4,25.9,1015.3
4958,20.3,18.4,21.2,1010.9
4959,16.9,15.5,20.5,1015.1
4960,19.4,7.3,19.9,1011.5
4961,24.1,14.9,25.5,1019.1
4962,25.3,19.4,27.6,1013.2
4963,20.4,17.1,20.9,1017.1
4964,14.1,17.8,25.6,1016.5
4965,36.2,27.8,36.5,1005.6
4966,23.4,21.0,26.5,1020.1
4967,10.7,5.6,11.1,1030.0
4968,26.0,23.0,26.8,1010.2
4969,18.5,,18.9,1019.0
4970,30.0,25.8,31.9,
4971,25.3,22.5,29.7,1009.2
4972,22.8,20.3,24.8,1015.1
4973,15.3,13.5,16.6,1009.9
4974,25.2,14.6,25.8,1017.4
4975,16.1,13.1,17.9,1012.6
4976,25.1,19.7,25.7,1020.1
4977,7.9,5.5,10.0,1008.1
4978,21.1,21.5,23.7,1029.0
4979,20.7,18.6,22.0,1019.1
4980,23.9,11.5,24.2,1019.8
4981,16.8,14.9,18.2,1011.2
4982,32.9,25.4,33.8,
4983,30.5,23.0,31.0,1015.5
4984,31.8,20.6,32.6,1012.8
4985,,,20.0,
4986,23.4,19.0,23.7,1010.6
4987,40.4,28.3,41.7,1004.8
4988,31.9,20.7,35.2,1012.6
4989,10.5,3.7,11.6,1035.5
4990,22.6,21.6,24.1,1019.1
4991,20.9,18.3,23.8,1012.1
4992,17.0,6.7,17.5,1016.8
4993,28.1,21.3,30.6,1012.5
4994,20.9,13.9,22.8,1010.1
4995,16.0,14.4,17.0,1021.4
4996,10.4,8.8,11.2,1037.2
4997,21.2,16.6,22.5,1018.7
4998,11.6,8.9,13.1,1026.5
4999,17.9,21.3,22.2,1006.8
5000,20.4,17.5,21.8,1016.9
5001,18.4,13.3,19.3,1009.4
5002,,,,
5003,18.4,11.0,19.9,1022.1
5004,19.8,12.9,20.1,1024.0
5005,27.7,25.8,30.5,1007.0
5006,10.8,5.2,10.9,1015.5
5007,22.7,15.1,24.5,1015.4
5008,10.8,2.5,11.0,1026.7
5009,,22.3,31.0,1012.2
5010,27.0,18.3,28.0,1015.4
5011,24.8,22.3,28.0,1012.2
5012,10.4,9.6,10.7,1005.7
5013,24.3,21.3,26.3,1017.4
5014,18.7,15.3,20.6,1027.3
5015,20.7,18.9,21.1,1021.1
5016,18.7,14.9,19.8,1024.3
5017,0.7,,2.5,
5018,10.9,7.0,13.4,1029.4
5019,19.0,13.6,23.8,1011.1
5020,13.5,8.5,13.9,1022.3
5021,11.7,12.4,16.8,1011.2
5022,24.1,18.0,25.2,1016.6
5023,17.2,10.4,17.5,1021.0
5024,22.0,23.2,25.6,1009.2
5025,26.2,21.5,27.8,1015.2
5026,13.7,7.6,14.7,1021.6
5027,16.7,11.4,17.1,1029.2
5028,22.2,12.3,24.1,1014.7
5029,29.7,24.3,31.1,1008.2
5030,15.0,11.4,15.8,1016.1
5031,16.2,15.7,18.0,1021.3
5032,16.1,13.5,16.6,1032.5
5033,15.5,10.4,15.9,
5034,19.0,16.9,19.7,
5035,21.2,13.4,23.9,1015.0
5036,12.5,9.6,12.7,1025.6
5037,15.8,14.1,16.6,1019.8
5038,4.5,2.5,6.3,
5039,16.5,12.2,17.4,1020.0
5040,21.9,17.7,23.3,1017.3
5041,20.9,15.2,22.7,1011.1
5042,11.9,11.9,12.8,1013.0
5043,23.0,16.9,24.7,1014.0
5044,16.3,19.9,21.1,1015.0
5045,10.8,9.4,10.9,1021.8
5046,26.5,16.8,28.2,1007.5
5047,18.2,16.3,22.1,
5048,24.8,22.6,28.4,1013.0
5049,18.3,20.5,24.0,1009.8
5050,10.5,9.0,12.2,1020.9
5051,21.2,18.8,22.2,1017.6
5052,22.3,17.4,23.0,1018.3
5053,18.9,13.9,20.0,1020.3
5054,12.1,8.6,12.9,1023.1
5055,4.2,2.7,7.2,
5056,25.0,11.1,25.9,1014.1
5057,29.1,16.7,31.2,1014.1
5058,3.2,-1.2,4.9,
5059,13.9,4.9,14.6,1017.4
5060,27.1,18.7,27.7,1013.3
5061,30.5,20.9,30.9,1013.2
5062,23.6,13.7,25.4,1017.9
5063,18.7,8.8,19.0,1019.7
5064,15.6,15.9,16.9,1014.4
5065,20.3,15.2,21.1,1022.8
5066,20.8,18.0,21.4,1010.4
5067,33.0,22.1,34.1,1018.0
5068,15.2,15.4,15.8,1007.9
5069,21.7,17.7,23.3,
5070,28.1,19.7,30.8,1013.9
5071,12.8,8.3,13.6,1023.6
5072,30.1,24.5,30.7,1007.0
5073,16.9,10.6,17.6,1012.5
5074,22.2,18.4,23.2,1015.8
5075,19.6,14.1,21.2,1003.6
5076,24.7,18.7,26.9,1009.3
5077,22.5,20.9,23.4,1023.5
5078,14.6,10.3,15.3,1011.8
5079,24.6,26.1,29.1,1009.9
5080,15.1,12.6,15.4,1022.6
5081,35.2,25.9,35.2,1013.5
5082,25.2,19.1,25.6,1013.7
5083,25.1,25.5,26.3,1006.3
5084,28.7,17.8,29.3,1007.9
5085,35.6,26.2,37.6,1014.6
5086,26.2,19.7,26.8,1008.8
5087,11.3,0.5,11.8,1026.3
5088,30.7,17.1,31.9,1019.3
5089,21.7,18.4,21.9,1021.3
5090,14.3,13.4,16.6,1011.8
5091,34.6,29.1,37.9,1004.9
5092,23.1,15.8,25.4,1021.4
5093,25.5,20.1,26.1,1012.3
5094,28.0,16.4,29.6,1009.0
5095,10.4,7.1,10.4,1020.5
5096,16.5,12.3,17.7,1021.1
5097,19.9,17.9,21.5,1009.3
5098,22.1,21.0,22.6,1014.5
5099,24.7,18.7,26.0,1014.3
5100,24.9,25.8,26.5,1008.8
5101,20.3,18.8,21.6,1012.9
5102,15.3,11.2,16.3,1020.9
5103,22.8,16.5,23.5,1026.2
5104,25.4,23.4,26.2,1020.1
5105,18.3,17.8,22.9,1012.2
5106,30.9,25.6,31.6,1013.7
5107,21.7,20.4,24.1,1019.1
5108,21.4,12.9,22.5,1016.3
5109,24.7,14.7,25.2,1018.1
5110,23.3,22.5,24.5,1019.5
5111,23.7,18.9,27.9,
5112,14.0,3.6,14.3,1029.3
5113,32.8,30.3,34.6,1005.1
5114,22.1,20.6,23.3,1018.5
5115,30.6,23.4,31.0,1013.2
5116,19.6,19.9,21.6,1014.3
5117,17.6,14.5,18.3,1014.6
5118,6.4,6.0,10.2,1019.3
5119,24.5,15.9,25.4,1012.0
5120,15.9,12.8,16.8,1018.4
5121,29.0,28.7,30.5,1011.9
5122,23.7,14.4,24.5,1011.2
5123,25.2,25.0,27.8,1015.5
5124,24.5,22.5,25.9,1017.0
5125,24.1,25.0,26.8,1012.4
5126,20.1,16.8,20.6,1021.0
5127,20.7,15.2,21.2,1001.1
5128,23.2,17.3,24.1,1013.3
5129,29.2,19.4,30.8,1017.2
5130,39.8,30.5,40.6,1007.7
5131,14.8,16.5,18.5,
5132,12.5,10.4,13.2,1005.4
5133,28.6,25.1,29.6,1004.7
5134,20.1,17.8,20.9,1006.6
5135,19.3,14.1,20.1,
5136,28.1,21.2,29.8,1017.4
5137,18.7,18.9,21.5,1026.5
5138,17.5,19.0,21.3,1006.9
5139,22.1,19.0,24.3,1011.0
5140,13.3,9.4,13.8,1018.6
5141,18.8,18.5,19.6,
5142,8.8,8.3,9.6,1014.3
5143,20.2,19.6,21.1,1018.3
5144,,,23.0,
5145,13.5,9.4,14.4,1006.6
5146,28.7,23.8,29.6,1006.4
5147,22.2,18.6,,
5148,12.8,8.2,13.3,1026.2
5149,25.1,23.1,26.4,1018.8
5150,25.7,16.4,29.6,
5151,12.1,9.4,13.9,1024.4
5152,23.0,27.7,29.3,1014.6
5153,16.0,15.0,17.0,1020.6
5154,13.1,5.8,13.5,1013.4
5155,27.0,20.4,27.4,1013.5
5156,19.5,13.1,19.7,1009.5
5157,28.6,21.6,29.4,1010.1
5158,24.7,14.8,26.3,1017.0
5159,9.8,9.6,14.6,1005.6
5160,25.2,21.8,28.5,1011.8
5161,14.8,6.5,15.9,1015.4
5162,13.8,7.2,14.4,1026.8
5163,29.3,27.4,30.6,1011.4
5164,16.7,11.1,18.5,1013.3
5165,20.6,20.1,25.1,1004.7
5166,29.4,21.0,29.7,1016.1
5167,26.4,22.7,27.8,1014.6
5168,13.7,10.4,14.6,1015.1
5169,11.4,6.7,12.2,1008.9
5170,26.6,22.2,27.9,1011.0
5171,26.6,26.9,29.0,1017.8
5172,21.2,11.8,21.7,1005.9
5173,23.2,16.0,24.3,1014.3
5174,,24.6,29.5,
5175,37.0,30.2,36.9,1002.5
5176,22.8,12.1,23.8,1022.9
5177,12.3,8.4,13.2,1015.5
5178,26.5,19.3,27.7,1014.5
5179,19.2,19.3,21.9,1016.0
5180,29.0,20.5,29.6,1019.2
5181,13.8,9.3,14.8,1015.7
5182,27.0,17.7,29.3,1022.4
5183,22.5,14.2,23.2,1020.2
5184,32.2,20.8,33.1,1009.0
5185,24.2,26.7,32.0,1006.8
5186,23.7,15.5,24.8,1011.2
5187,25.0,19.9,26.6,1003.6
5188,17.5,12.4,19.2,
5189,5.4,0.9,6.7,1016.9
5190,19.2,16.1,19.9,1000.8
5191,31.6,20.9,32.2,1014.6
5192,23.4,13.9,25.2,1018.8
5193,17.1,14.2,18.3,1016.5
5194,24.1,22.7,30.0,1013.4
5195,16.8,14.2,18.0,
5196,24.1,16.5,24.6,
5197,16.3,9.2,17.9,1023.3
5198,25.3,23.1,27.4,1014.9
5199,20.7,13.6,21.8,
5200,28.9,26.8,30.2,1009.6
5201,23.3,21.8,25.5,
5202,17.9,14.4,19.4,1010.2
5203,18.1,15.9,18.9,1021.2
5204,11.1,11.4,12.4,1007.5
5205,30.7,24.4,32.0,1010.9
5206,30.5,25.8,32.3,1005.9
5207,26.8,17.6,27.6,1009.1
5208,26.6,20.3,27.0,1015.4
5209,16.6,12.6,17.9,1017.4
5210,17.4,14.0,18.3,
5211,24.4,21.5,26.5,1016.3
5212,22.6,19.8,24.6,1012.9
5213,32.0,25.4,32.5,1007.2
5214,14.3,13.5,16.7,1013.4
5215,17.2,8.9,17.4,1015.8
5216,21.1,16.6,21.8,
5217,18.1,15.8,19.4,1010.6
5218,34.4,18.8,35.9,1007.1
5219,22.6,16.8,23.5,1015.2
5220,13.2,12.6,16.2,1019.2
5221,18.4,19.3,21.3,1019.5
5222,25.5,27.9,31.7,1010.0
5223,27.1,19.7,29.3,1010.1
5224,21.2,8.9,22.6,1016.6
5225,24.1,21.9,25.7,1017.6
5226,13.0,10.4,15.4,1004.5
5227,30.5,22.3,31.5,1009.9
5228,27.2,23.5,27.6,1004.7
5229,19.7,13.3,20.0,1014.4
5230,17.4,9.2,17.8,
5231,20.4,17.5,21.0,1011.7
5232,20.4,13.7,21.1,1021.9
5233,30.8,22.1,32.7,1014.8
5234,23.0,16.6,24.3,1015.3
5235,8.1,6.7,10.0,1026.8
5236,21.5,18.5,22.5,1010.8
5237,28.8,20.3,30.0,1013.0
5238,32.7,23.0,33.6,1014.3
5239,23.2,22.7,25.2,1014.0
5240,14.7,13.9,15.4,1032.0
5241,28.3,26.0,29.1,1012.1
5242,22.0,,23.0,1016.5
5243,23.8,18.8,24.2,1015.7
5244,29.2,28.9,32.6,1006.6
5245,16.8,15.7,18.4,
5246,17.8,16.9,22.6,998.5
5247,31.9,25.1,32.7,1011.5
5248,27.7,22.0,30.3,
